time_ps,OPA_COM_x_A,OPA_COM_y_A,OPA_COM_z_A,OPA_disp_x_A,OPA_disp_y_A,OPA_disp_z_A,OPA_disp_norm_A,F_OPA_x_eV_A,F_OPA_y_eV_A,F_OPA_z_eV_A,F_OPA_norm_eV_A
0.0,22.32706467691491,21.868126215581846,24.330663686629208,0.0,0.0,0.0,0.0,0.353633871072341,-0.8483496079028736,-0.029564691735416593,0.9195803624458162
0.1,22.161519573889837,21.42506813656258,24.63970107910906,-0.16554510302507452,-0.4430580790192664,0.3090373924798513,0.5649865064499954,0.013656783755136015,0.19490081295512351,0.2589450270514282,0.32438458913420576
0.2,22.023301470796298,21.566371324648316,24.22485320352045,-0.30376320611861374,-0.30175489093353036,-0.10581048310875829,0.44104870244619815,0.35335314008526214,-0.19293886844302377,-0.049817132461605684,0.40566685254144996
0.3,21.803398645216173,21.21854692945572,24.317112401248618,-0.5236660316987383,-0.6495792861261265,-0.013551285380589917,0.8344836721318748,0.5377954550926791,0.294678786051466,-0.01788984241349989,0.6134978279738954
0.4,21.73904996528303,21.410723579890842,24.25815865343269,-0.5880147116318817,-0.4574026356910039,-0.07250503319651713,0.7484887788547202,-0.09945142167706628,0.1759777693887572,0.20703345508867121,0.289346871623982
0.5,21.39642909697895,21.13126675557473,24.146380768731294,-0.9306355799359629,-0.7368594600071141,-0.18428291789791373,1.2012512810705722,-0.011979168371077265,0.10594458685011143,0.05568651981501338,0.12028609415394324
0.6,21.502550148065055,20.82365519816134,24.451573408593248,-0.824514528849857,-1.0444710174205056,0.12090972196403982,1.3361747922264322,0.058246695565634,0.2814351832407378,-0.17533264134512194,0.3366600288586699
0.7,21.54285000913362,20.68620539853973,24.257414373091425,-0.784214667781292,-1.1819208170421156,-0.07324931353778297,1.4203150794294133,0.03613853289694735,0.013094837521584246,-0.20652387118586724,0.21007041128930348
0.8,21.816096042086343,20.703046406588314,24.0723962828775,-0.5109686348285685,-1.1650798089935321,-0.2582674037517094,1.2981532879223565,-0.3228193991122523,-0.08784952923175349,-0.0156877556154833,0.33492687247470526
0.9,21.937366287857877,20.185893112259855,24.20010548110137,-0.3896983890570347,-1.682233103321991,-0.13055820552783715,1.7317097023972101,0.04320539355129849,0.490984523464034,-0.41351852167776215,0.6433739784011232
1.0,21.80540037186698,20.73958996192797,23.743636723341602,-0.5216643050479313,-1.128536253653877,-0.587026963287606,1.3748921334413609,-0.39463548452320785,-0.2346473732465475,0.07911788040515433,0.46589290015643714
1.1,21.526916387104386,20.46290329875974,23.459237002130465,-0.8001482898105259,-1.4052229168221047,-0.8714266844987435,1.8369194860159783,-0.27214032262668075,-0.5564495526439954,-0.0836776721829019,0.6250587273680815
1.2,21.769711764551893,20.92590440963316,23.500078224360337,-0.5573529123630188,-0.9422218059486873,-0.8305854622688713,1.3741529793502394,-0.11589587161947201,-0.023655773574487116,0.4042326102786412,0.4211833946091992
1.3,21.83309395370299,21.05213278772193,23.406723458268534,-0.49397072321192326,-0.8159934278599152,-0.9239402283606744,1.3279751109430704,0.40503053876259054,-0.210053276869699,0.2723205389121719,0.5313479014425752
1.4,21.86720030643296,20.669166591664418,23.529842183052544,-0.4598643704819523,-1.1989596239174283,-0.8008215035766639,1.5133718973252317,-0.28077993468768125,-0.17536946259823072,0.06862211376126992,0.33808403486748007
1.5,21.5870726236259,20.683086770837427,23.38727919812029,-0.7399920532890114,-1.1850394447444188,-0.9433844885089187,1.6857879515794036,0.5839881738629797,-0.3050372347793535,0.046980318051817405,0.6605278586841755
1.6,21.812917600197093,20.432204400227622,23.655609126134795,-0.5141470767178191,-1.4359218153542237,-0.6750545604944129,1.6679080717929131,0.20111832469206115,0.1483861165911291,-0.04246383707315693,0.25351567522130286
1.7,21.992274750862457,20.58571673984545,23.776955563346878,-0.33478992605245494,-1.2824094757363973,-0.5537081232823304,1.436402117734985,0.20462789673725434,-0.3854914210885534,-0.08752817641948996,0.445126266943781
1.8,22.112538031187675,20.22969614400373,23.90930883681827,-0.21452664572723634,-1.6384300715781173,-0.42135484981093896,1.7052902071605445,-0.27183661248268276,-0.010572830076835515,-0.20606066859973327,0.3412739775688486
1.9,22.229102514166613,20.148868324315806,23.523890301531853,-0.09796216274829916,-1.7192578912660395,-0.8067733850973546,1.901664422791865,0.0884856198777233,0.08347580428582158,0.19067335552133358,0.22617303847292364
2.0,22.294591609909308,20.52055643442048,23.56639385397405,-0.03247306700560415,-1.347569781161365,-0.7642698326551596,1.5495506420529743,-0.0021511524251556224,0.1178014329708934,0.07873311227860968,0.14170641494240233
2.1,22.414716070982898,20.35936539598512,24.14382385544466,0.08765139406798639,-1.508760819596727,-0.1868398311845496,1.5228102640018288,-0.2784911924758413,0.012608937341956228,-0.08535772964392613,0.291551490473767
2.2,22.781269394963726,20.686381775845675,23.613680113843827,0.454204718048814,-1.1817444397361712,-0.7169835727853808,1.4549526763401102,-0.6350619793989575,0.37622638107977335,0.15235098225518762,0.753698102221722
2.3,22.458074993256556,20.836855207522483,23.773164958465273,0.13101031634164428,-1.0312710080593632,-0.5574987281639352,1.1796136769960401,-0.42913395937700605,0.21219597432799064,0.058236125740806166,0.48225981892843833
2.4,22.282696925571656,20.780192183888598,23.573849459050617,-0.044367751343255435,-1.0879340316932478,-0.756814227578591,1.3260228994029328,-0.17319271906468345,-0.038352718206562386,-0.13205990630352193,0.22114806755598237
2.5,22.583784940660674,20.798120943007756,23.7310010661371,0.2567202637457626,-1.0700052725740896,-0.5996626204921078,1.2531607381216137,-0.304142381311753,-0.2700385992081009,-0.038874623093940075,0.40857639370496307
2.6,22.685147249432603,20.7049963977473,23.82689992066679,0.3580825725176915,-1.1631298178345446,-0.5037637659624181,1.3171454110208738,-0.49451630402715285,-0.2553178820931782,0.049105595006256386,0.5586993425145048
2.7,22.192556797516485,20.761132062241973,23.6465575769676,-0.13450787939842712,-1.1069941533398726,-0.6841061096616095,1.308254407378498,0.06467606158407113,-0.07992356376226362,0.042747965947890876,0.11134701423553851
2.8,22.275435691043405,21.172458000749597,23.593571885531887,-0.05162898587150622,-0.6956682148322493,-0.7370918010973213,1.0148517825549215,-0.44908435617962694,-0.35818682677481006,-0.34111864914370704,0.6680841972640166
