time_ps,OPA_COM_x_A,OPA_COM_y_A,OPA_COM_z_A,OPA_disp_x_A,OPA_disp_y_A,OPA_disp_z_A,OPA_disp_norm_A,F_OPA_x_eV_A,F_OPA_y_eV_A,F_OPA_z_eV_A,F_OPA_norm_eV_A
0.0,23.82706467691491,23.36812621558184,25.830663686629208,0.0,0.0,0.0,0.0,-0.8324239857472265,-0.31752762020396325,-0.7278883305149352,1.150467254353426
0.1,23.43325575594034,23.46629155583181,26.203190997462254,-0.3938089209745712,0.09816534024997026,0.37252731083304624,0.5509069772493806,0.3984831504599171,0.014369384149905962,0.028580873548952557,0.3997651394683255
0.2,23.62725139176576,23.302026586987648,25.975189796858285,-0.1998132851491512,-0.06609962859419127,0.14452611022907647,0.2553082575247679,-0.036100757329307065,0.21246791969289403,0.014941564808400809,0.21603039586433023
0.3,23.68547521472868,23.15763481006417,26.366352444339295,-0.14158946218623214,-0.21049140551766854,0.5356887577100871,0.5927197084085921,0.36410214858287704,0.2602330852987693,0.18760177707148085,0.4852690594372998
0.4,23.557908396139428,23.360901693405236,26.195549924978835,-0.2691562807754835,-0.0072245221766031875,0.3648862383496265,0.4534746565559222,0.47582743776023184,0.10155152681402013,0.09911031136698245,0.4965353128861896
0.5,23.69669545526644,23.288944969530718,26.393611100813402,-0.13036922164847198,-0.07918124605112098,0.5629474141841939,0.5832457413613125,-0.12300219030650572,-0.0010714732697927332,0.04111025684018288,0.1296947959350395
0.6,23.70604860321932,23.2465964076583,26.598542333873464,-0.12101607369559275,-0.12152980792354029,0.767878647244256,0.7867985772739413,-0.6718577322067243,0.37596217260851106,0.037884722438540575,0.7708278794599477
0.7,23.314360840947913,23.56441758395339,26.597364018470948,-0.5127038359669989,0.1962913683715506,0.76670033184174,0.9429872340380252,-0.11133555921610783,-0.530368840670645,0.13749307490610607,0.559098434577869
0.8,23.622641108168725,23.309918361611437,26.506635239046258,-0.2044235687461864,-0.0582078539704014,0.6759715524170495,0.7086005146765575,0.10281631120129608,0.08201484651437552,0.07805106170992371,0.1529365787895906
0.9,23.7177501761049,23.010941681782878,26.439196819725048,-0.1093145008100116,-0.35718453379896076,0.6085331330958397,0.7140329301565593,-0.06764015665943202,0.14939389047966345,0.015502940778408525,0.16472421339420937
1.0,23.89621822151179,23.173333593260423,26.286589023172578,0.06915354459687961,-0.19479262232141537,0.45592533654336975,0.5005939381807886,-0.5290235431877581,-0.06313659947740557,-0.035373472088988,0.5339507673635562
1.1,24.045343799393876,23.010123498781706,26.27498837167524,0.21827912247896464,-0.35800271680013296,0.4443246850460305,0.6109305576640583,0.08001941135489865,0.05367338977278813,-0.27891178367910596,0.29508595703344903
1.2,24.056250484199843,23.256173065927776,25.850816926756295,0.22918580728493154,-0.11195314965406311,0.020153240127086747,0.2558628442465432,0.39482840573613853,-0.2836921155725505,-0.22712999063831413,0.5366178519780448
1.3,24.002485148706402,22.83494798072546,25.95004312833958,0.17542047179149023,-0.5331782348563792,0.11937944171037174,0.5738491292588962,0.10773248386101786,0.4831928859177541,0.587229407001451,0.7680625166792531
1.4,24.28238021409247,23.18806841850258,25.79075966694369,0.4553155371775581,-0.1800577970792574,-0.03990401968551893,0.49124879589815346,-0.17107957919899963,-0.15991088147604904,0.33068902321619364,0.40520975125116876
1.5,24.26966230328604,23.47063006142298,25.69955552738034,0.4425976263711284,0.10250384584114158,-0.13110815924886765,0.4728520346823179,-0.5880922013139196,0.027736101947930747,0.060535014192031666,0.591849826003816
1.6,24.26824306325094,23.189655331918974,26.07817474886863,0.441178386336027,-0.17847088366286457,0.24751106223942188,0.5364251586347824,0.0815546312075559,0.12351596900498851,0.2404442155910762,0.2823486732425879
1.7,24.318285106736614,23.215205552117318,25.837339136703168,0.491220429821702,-0.1529206634645206,0.0066754500739598654,0.51451608490147,-0.14946792544141996,0.07910261654178319,0.06795244021871483,0.18225097753152458
1.8,23.909683775369505,23.23005176593729,26.245251914522868,0.08261909845459314,-0.13807444964454874,0.4145882278936597,0.4447177394506541,-0.38845742391824856,0.39878886363562094,0.12224415652186149,0.5699783870996629
1.9,23.186860613105118,22.885424921158606,26.26623580708982,-0.6402040638097937,-0.48270129442323295,0.43557212046061267,0.91246087865672,0.14411627801857163,-0.046280034165542716,0.19154361929248886,0.24413172928555588
2.0,23.62425312640655,23.02263618268852,26.13161138399647,-0.2028115505083612,-0.3454900328933199,0.30094769736726334,0.501064271724587,-0.2820621850238557,-0.023730858315631043,0.5164097080584367,0.5888983073789805
2.1,23.48066873665583,22.859382533383133,25.55530355124921,-0.3463959402590824,-0.5087436821987055,-0.27536013537999793,0.6742651449997709,-0.07857204130389239,0.5486626854526653,0.14003710876060538,0.5716770940949274
2.2,23.847461613597723,23.33802360932736,25.32723601284936,0.020396936682811173,-0.030102606254477138,-0.5034276737798464,0.5047391649721092,-0.18310543612991292,-0.269911284883547,0.07533653180723898,0.3347466138328452
2.3,24.115441029961726,23.06980239303713,25.4607515228534,0.2883763530468144,-0.29832382254470957,-0.36991216377580827,0.5558714176889911,-0.40774368361507274,-0.12339388772102544,0.268167534327327,0.5033833425155183
2.4,24.222125919501654,23.085231868371114,25.736583947328306,0.3950612425867419,-0.2828943472107248,-0.09407973930090208,0.49492786790085724,-0.0770585282820706,0.04541872782112277,0.14863141838441596,0.1734709662994105
2.5,24.167996159397486,23.18372241224997,25.640030728527858,0.3409314824825742,-0.18440380333186823,-0.19063295810135017,0.43194902841133387,-0.11041972545069578,0.3282288402558242,0.0926430937359719,0.3584821197232332
2.6,24.288146049527104,23.83803093025404,25.599654455483968,0.46108137261219184,0.4699047146722002,-0.23100923114524008,0.6976902879612269,-0.17691166880120401,-0.1462967595844038,0.3006785819073833,0.37829629926918235
2.7,24.523710830283083,23.269419985118827,26.08546241553596,0.6966461533681709,-0.09870623046301219,0.2547987289067528,0.7483188993920863,0.24213823115128252,-0.39208566908331366,-0.6557370277057046,0.8014693658461898
2.8,24.390505838267064,23.192899272238588,26.013609532370996,0.5634411613521522,-0.17522694334325095,0.18294584574178785,0.6177698652843621,0.6729654138895587,0.5416148282404087,0.13055693842594934,0.8736556441943185
2.9,24.72665678914459,23.177201010004456,26.500843424258633,0.8995921122296799,-0.19092520557738268,0.6701797376294252,1.1379188385995147,0.6621780879835439,0.19372593476306754,-0.046141548079168926,0.6914756687436722
3.0,24.74890051949517,22.8041786271821,26.60579574753193,0.9218358425802577,-0.5639475883997385,0.7751320609027204,1.3299052278139345,-0.625143332308205,0.16427016789812354,1.2395835921102836,1.3979829597744453
3.1,24.927555514778586,22.834322963948697,26.91403564713642,1.1004908378636742,-0.5338032516331417,1.0833719605072112,1.6339280279404125,0.004327010445035695,0.4624122629526465,0.48149030840479295,0.6675902493566855
3.2,24.815539724769963,23.16070056322921,26.72666478972152,0.9884750478550508,-0.20742565235262944,0.8960011030923134,1.3501578790010453,0.22093295472363916,-0.4155825522426564,-0.15497779636603526,0.4955182595807244
3.3,24.955907032125314,23.30995229263445,26.354232794340852,1.128842355210402,-0.058173922947389656,0.5235691077116442,1.2457101905250771,0.33684795810124846,-0.21544002989736089,0.22609699738050226,0.459348239991877
3.4,24.36619397847235,23.48576348308709,26.230244085317132,0.5391293015574377,0.11763726750525194,0.39958039868792383,0.6812954025380715,0.27799449643677265,-0.8839728498881527,0.3470382141769195,0.989507181119785
3.5,24.239450008490827,23.567399673682992,25.90211412687886,0.4123853315759156,0.19927345810115327,0.0714504402496523,0.46354798911702666,0.05041662998158558,-0.27726125160908444,0.1079475674208179,0.3017752732325963
3.6,23.901836449771707,23.677973662573567,25.770358292239948,0.07477177285679559,0.3098474469917285,-0.060305394389260414,0.3243963609781782,0.8777868824531234,0.2134735305753026,-0.4787281456770822,1.0223802603368648
3.7,23.70817674737397,23.66120067469439,25.63366085054946,-0.11888792954094285,0.2930744591125496,-0.1970028360797471,0.37260850204753704,0.16010882823543393,-0.39192819815585467,0.03612279652832662,0.424908702920575
3.8,23.92718222517868,23.59305239099446,25.32625796993235,0.10011754826376773,0.2249261754126195,-0.5044057166968585,0.5612846291255158,-0.03042608786517076,-0.3023897680369023,0.2660047398287513,0.4038859247950494
3.9,23.53081469159166,23.6624228326651,25.07595559056975,-0.2962499853232501,0.29429661708326194,-0.7547080960594563,0.8625304996858764,0.20381694607880219,-0.38354446978903867,0.29050236042243793,0.5225316538025732
4.0,23.220750704535952,23.565312286412993,25.21502387888941,-0.6063139723789597,0.19718607083115458,-0.6156398077397967,0.8862907832679277,0.28271629233537476,0.08256260620422973,0.0020207389253052987,0.29453211926868017
