group,system,display_label,curve_id,color_hex,marker,alpha,K_alpha_A2_ps_minus_alpha,alpha_fit_r2,fit_tau_min_ps,fit_tau_max_ps,record_type,time_ps,OPA_COM_x_A,OPA_COM_y_A,OPA_COM_z_A,OPA_displacement_from_t0_A,lag_ps,TAMSD_A2,TAMSD_powerlaw_fit_A2,in_alpha_fit_window
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.0,23.82706467691491,23.36812621558184,25.830663686629208,0.0,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.1,23.188205188164307,23.61626031282005,26.245304572178338,0.8010237453083835,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.2,23.062431597703217,23.400716374890465,26.06315414427992,0.7998610361851347,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.3,23.197850698800995,23.75852873355781,25.944183646804543,0.7491402656740119,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.4,23.12952614869628,23.67614501684955,26.207894241122357,0.850728200735711,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.5,23.073984747488904,23.81646928147719,25.40487667121261,0.9743897922998264,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.6,22.9874556873702,23.822732679814862,25.30297875619776,1.0908994813690158,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.7,23.3134505576804,23.45982949801452,25.55473222344835,0.5902093932318447,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.8,23.26814230276582,23.679689544527296,25.424213535551058,0.7580683699901237,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,0.9,23.04994699479309,23.180481605885145,25.82206191030414,0.7994975809660532,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.0,23.425363063563346,23.02100712179124,26.14443617539115,0.6166920026618824,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.1,23.088581752278586,23.15523686981079,26.28395898953591,0.892275481653243,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.2,23.000190673177887,22.77129693588096,26.003448005963104,1.0343018071008323,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.3,22.95609404270251,22.813016565214603,25.83360203489157,1.0328335797608916,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.4,22.94156305086921,23.0688316659416,25.66041395129464,0.9500922742320512,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.5,23.311104384653262,22.77160525948298,26.1503316635832,0.8510228491325473,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.6,23.394733943065702,22.746513346482203,26.405475071823407,0.9506421782194112,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.7,23.280346559422888,22.482601924601056,26.967739974417142,1.541426759259303,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.8,23.31030127311323,22.17714581952558,26.753477095411498,1.5928161559726253,,,,False
group1,acetone_10_n-heptane_90,acetone 10% / n-heptane 90%,group1 | acetone 10% / n-heptane 90%,#bf5e18,o,0.8901040222908211,1.6504909470024345,0.9954162864012377,0.1999999999999999,3.2999999999999994,displacement,1.9,23.23997692457096,21.829569234045803,26.50588714690905,1.7798191862371409,,,,False
